name|handle|parent_handle|active|brand|product_type|categories|tags|description|sku|label|sell_price|regular_price|weight|quantity|track_stock|images
Nice Saw|nice_saw||1|ACME|Hardware|specials|saw|You've been wanting to cut that tree down in the back yard for some time now.  Why not yell it out?  Timber! Hand crafted handle with maximum grip torque.  Titanium tipped shovel platter.  Half degree offset for less accidents Includes HowTo Video narrated by Bob Costas.|H01|Nice Saw|24.99|0.00|10.0000|0|0|e614ba08c3ee0c2adc62fd9e5b9440eb.jpg;8716aefc3b0dce8870360604e6eb8744.jpg
Hand Shovel|hand-shovel||1|ACME|Hardware|home;gardentools;specials|hand shovel|Hand crafted handle with maximum grip torque.  Titanium tipped shovel platter with falf degree offset for less accidents.  Includes HowTo Video narrated by Bob Costas.|G01|Hand Shovel|4.99|0.00|10.0000|10|0|8d886c5855770cc01a3b8a2db57f6600.jpg
Ladder|ladder||1|ACME|Hardware|home;outdoortools;specials|ladder|<UL><LI>Hand crafted handle with maximum grip torque<LI>Titanium tipped shovel platter<LI>Half degree offset for less accidents<LI>Includes HowTo Video narrated by Bob Costas</UL><B>Specifications</B><BR>5" Diameter<BR>Tungsten handle tip with 5 point loft<BR>|G02|Ladder|49.99|0.00|10.0000|0|0|ffd5d5ace2840232c8c32de59553cd8d.jpg
Shovel|shovel||1|ACME|Hardware|gardentools|shovel|Hand crafted handle with maximum grip torque.  Titanium tipped shovel platter with half degree offset for less accidents.  Includes HowTo Video narrated by Bob Costas.  Uses 5" Diameter Tungsten handle tip with 5 point loft.|G03|Shovel|24.99|0.00|10.0000|0|0|a04395a8aefacd9c1659ebca4dbfd4ba.jpg
||shovel|1||||||G03A|Nickel Handle|35.00|55.00|10.0000|10|1|
Smaller Shovel|smaller-shovel||1|ACME|Hardware|gardentools|smaller shovel|<UL><LI>Hand crafted handle with maximum grip torque<LI>Titanium tipped shovel platter<LI>Half degree offset for less accidents<LI>Includes HowTo Video narrated by Bob Costas</UL><B>Specifications</B><BR>5" Diameter<BR>Tungsten handle tip with 5 point loft<BR>|G04|Smaller Shovel|19.99|0.00|10.0000|0|0|520efefd6d7977f91b16fac1149c7438.jpg
Hammer|hammer||1|ACME|Hardware|handtools|hammer|<UL><LI>Hand crafted handle with maximum grip torque<LI>Titanium tipped shovel platter<LI>Half degree offset for less accidents<LI>Includes HowTo Video narrated by Bob Costas</UL><B>Specifications</B><BR>5" Diameter<BR>Tungsten handle tip with 5 point loft<BR>|H02|Hammer|1.00|0.00|10.0000|0|1|578563851019e01264a9b40dcf1c4ab6.jpg
Chain Saw|chain-saw||1|ACME|Hardware|powertools|chain saw|<ul><li>Tool-free tensioner for easy, convenient chain adjustment<li>3-Way Auto Stop; stops chain a fraction of a second<li>Automatic chain oiler regulates oil for proper chain lubrication<li>Small radius guide bar reduces kick-back</ul><br><b>Specifications</b><br>12.5 AMPS   <br> 16" Bar Length   <br> 3.5 HP   <br> 8.05 LBS. Weight   <br>|P01|Chain Saw|149.99|0.00|10.0000|0|0|8716aefc3b0dce8870360604e6eb8744.jpg
Circular Saw|Circular-Saw||1|ACME|Hardware|indoortools;powertools|circular saw|<ul><li>Patented Sightline; Window provides maximum visibility for straight cuts<li>Adjustable dust chute for cleaner work area<li>Bail handle for controlled cutting in 90? to 45? applications<li>1-1/2 to 2-1/2 lbs. lighter and 40% less noise than the average circular saw                     <li><B>Includes:</b>Carbide blade</ul><br><b>Specifications</b><br>10.0 AMPS   <br> 4,300 RPM   <br> Capacity: 2-1/16" at 90?, 1-3/4" at 45?<br>|P02|Circular Saw|220.90|0.00|10.0000|0|0|b4a748303d0d996b29d5a1e1d1112537.jpg
Drill|drill||1|ACME|Hardware|powertools;indoortools|drill|<ul>                        <li>High power motor and double gear reduction for increased durability and improved performance<li>Mid-handle design and two finger trigger for increased balance and comfort<li>Variable speed switch with lock-on button for continuous use<li><B>Includes:</B> Chuck key & holder</ul><br><b>Specifications</b><br>4.0 AMPS   <br> 0-1,350 RPM   <br> Capacity: 3/8" Steel, 1" Wood   <br>|P03|Drill|48.12|0.00|10.0000|0|0|1ff5f2527907ca86103288e1b7cc3446.jpg
Power Sander|power-sander||1|ACME|Hardware|outdoortools;powertools|power sander|<ul><li>Lever activated paper clamps for simple sandpaper changes<li>Dust sealed rocker switch extends product life and keeps dust out of motor<li>Flush sands on three sides to get into corners<li>Front handle for extra control<li>Dust extraction port for cleaner work environment </ul><br><b>Specifications</b><br>1.2 AMPS    <br> 10,000 OPM    <br>|P04|Power Sander|74.99|0.00|10.0000|0|0|7a36a05526e93964a086f2ddf17fc609.jpg
